統一編號,公司名稱,公司地址,實收資本額,公司狀態,產製日期
03221766,法蝶國際開發股份有限公司,臺北市中山區南京東路2段36號7樓,42000000,核准設立,2020-04-01 02:36:38.997
05068507,祥富管理顧問股份有限公司,新北市板橋區中山路1段1號4樓之8,11000000,核准設立,2020-04-01 02:36:38.997
05166423,熙隆有限公司,新北市新店區順安街54巷20號5樓,0,核准設立,2020-04-01 02:36:38.997
05184787,金石堂圖書股份有限公司,臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室,355991000,核准設立,2020-04-01 02:36:38.997
05190649,金盈通信電機有限公司,臺北市中正區羅斯福路2段198號2樓之1,0,核准設立,2020-04-01 02:36:38.997
05710326,良綺企業股份有限公司,基隆市中正區中正路30號10樓,7000000,核准設立,2020-04-01 02:36:38.997
07731810,新集興實業股份有限公司,新北市汐止區大同路3段621號6樓之7,29000000,核准設立,2020-04-01 02:36:38.997
07735055,安生紡織有限公司,新北市新莊區新興街45巷1號1樓,0,核准設立,2020-04-01 02:36:38.997
09451856,顯德投資有限公司,新北市林口區竹林路606巷5號,0,核准設立,2020-04-01 02:36:38.997
11456028,南陽實業股份有限公司,臺北市內湖區南京東路6段386號3樓,1411862760,核准設立,2020-04-01 02:36:38.997
11626207,國華欣業股份有限公司,臺北市大安區羅斯福路3段37號15樓,100000000,解散,2020-04-01 02:36:38.997
12130990,慧寶實業有限公司,臺北市中正區中華路1段77號11樓之2,0,核准設立,2020-04-01 02:36:38.997
12135600,統振股份有限公司,臺北市內湖區安美街181號1樓及6樓,896700380,核准設立,2020-04-01 02:36:38.997
12171149,點吾企業有限公司,臺北市中山區吉林路79號3樓之3,0,核准設立,2020-04-01 02:36:38.997
12228213,廉美裝璜有限公司,臺北市松山區興安街170號1樓,0,核准設立,2020-04-01 02:36:38.997
12228473,神腦國際企業股份有限公司,新北市新店區中正路531號2樓,2582526570,核准設立,2020-04-01 02:36:38.997
12363110,勁峯企業有限公司,新北市汐止區南興路51號6樓,0,核准設立,2020-04-01 02:36:38.997
12403534,康和資訊系統股份有限公司,臺北市內湖區瑞光路318號5樓,231133720,核准設立,2020-04-01 02:36:38.997
12409903,優瑩貿易有限公司,臺北市中山區錦州街46號9樓之1,0,核准設立,2020-04-01 02:36:38.997
12461442,鈺翔廣告股份有限公司,臺北市中山區建國北路3段79號7樓,12000000,核准設立,2020-04-01 02:36:38.997
12563980,千佑興業有限公司,新北市八里區龍米路2段88之1號6樓,0,核准設立,2020-04-01 02:36:38.997
12619859,晶璽科技有限公司,嘉義縣太保市舊埤里新埤5之18號,0,解散,2020-04-01 02:36:38.997
12656354,金財通商務科技服務股份有限公司,臺北市松山區南京東路3段261號7樓,135000000,核准設立,2020-04-01 02:36:38.997
12665065,倍利國際科技股份有限公司,臺北市內湖區內湖路1段91巷17號9樓,20000000,核准設立,2020-04-01 02:36:38.997
12668703,高格亞翼資訊股份有限公司,臺北市松山區八德路3段2號9樓之1,8000000,核准設立,2020-04-01 02:36:38.997
12670617,碩盈投資顧問有限公司,臺北市大安區安和路1段83號2樓,0,核准設立,2020-04-01 02:36:38.997
12683417,普陸科技有限公司,臺北市北投區知行路336號4樓之10,0,核准設立,2020-04-01 02:36:38.997
12692416,華將整合行銷有限公司,基隆市中正區砂子里觀海街48號16樓,0,核准設立,2020-04-01 02:36:38.997
12698798,知語有限公司,新北市深坑區深南路198號8樓,0,核准設立,2020-04-01 02:36:38.997
12707656,美林藝術文創股份有限公司,臺中市南屯區三和里干城街328號4樓之1,12800000,核准設立,2020-04-01 02:36:38.997
12716769,獵戶座企業股份有限公司,臺中市北區賴厝里梅川西路三段66號7樓,5000000,核准設立,2020-04-01 02:36:38.997
12746074,靖成企業有限公司,新北市中和區連城路171巷46號,0,核准設立,2020-04-01 02:36:38.997
12751857,華晟開發科技有限公司,臺南市安平區建平十七街157號13樓之2,0,核准設立,2020-04-01 02:36:38.997
12753335,捷達威數位科技股份有限公司,臺北市內湖區瑞湖街111號,160000000,核准設立,2020-04-01 02:36:38.997
12782731,忠義堂國際有限公司,雲林縣斗南鎮西岐里中興路170巷284號1樓,null,核准設立,2020-04-01 02:36:38.997
12798190,伊利特企業管理顧問股份有限公司,臺北市大同區太原路97巷18號,6500000,核准設立,2020-04-01 02:36:38.997
12812799,如宏企業有限公司,新竹市北區舊社里湳雅街313巷27弄19號一樓,0,核准設立,2020-04-01 02:36:38.997
12814558,准詳有限公司,臺北市中正區黎明里館前路20號5樓,0,核准設立,2020-04-01 02:36:38.997
12819081,金妍泰科技股份有限公司,臺中市西屯區潮洋里市政北二路282號14樓之11,10320000,核准設立,2020-04-01 02:36:38.997
12843688,現代鐘錶有限公司,嘉義市自治里中山路559號,null,核准設立,2020-04-01 02:36:38.997
12843890,翊霖科技股份有限公司,臺南市安定區新吉里新吉56之24號,20000000,核准設立,2020-04-01 02:36:38.997
12846637,台極科技有限公司,臺南市安南區佃西里佃西路7號1樓,0,核准設立,2020-04-01 02:36:38.997
12849711,韋冠科技有限公司,新北市三峽區中正路1段164號3樓,null,核准設立,2020-04-01 02:36:38.997
